"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/json",18939,0,63,82,55,465,106,317.33
"None","Total",18939,0,63,82,55,465,106,317.33
