"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/json",18924,0,63,82,54,401,106,317.42
"None","Total",18924,0,63,82,54,401,106,317.42
