"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/text",18804,0,62,80,54,415,12,313.17
"None","Total",18804,0,62,80,54,415,12,313.17
