"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/text",18908,0,63,81,54,431,12,313.74
"None","Total",18908,0,63,81,54,431,12,313.74
