"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/text",18771,0,63,83,55,514,12,314.84
"None","Total",18771,0,63,83,55,514,12,314.84
