"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/text",13250,0,120,545,108,16363,12,221.04
"None","Total",13250,0,120,545,108,16363,12,221.04
