"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/text",23644,0,10,41,2,2144,12,395.91
"None","Total",23644,0,10,41,2,2144,12,395.91
