"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/json",23868,0,7,16,1,749,106,399.93
"None","Total",23868,0,7,16,1,749,106,399.93
