"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /json",18023,90,300,1200,2300,5600,9000,13000,15000,36000
"Total",18023,90,300,1200,2300,5600,9000,13000,15000,36000
