"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /json",17278,130,670,2300,4100,7900,11000,14000,15000,23000
"Total",17278,130,670,2300,4100,7900,11000,14000,15000,23000
