"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/json",23459,0,11,24,1,767,106,392.48
"None","Total",23459,0,11,24,1,767,106,392.48
