"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /json",19809,82,180,660,1500,4800,8900,12000,14000,23000
"Total",19809,82,180,660,1500,4800,8900,12000,14000,23000
