"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/json",24058,0,7,12,1,274,106,406.88
"None","Total",24058,0,7,12,1,274,106,406.88
