"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/json",20912,233,74,707,2,26426,122,350.75
"None","Total",20912,233,74,707,2,26426,122,350.75
