"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/json",23993,0,8,16,2,837,106,406.02
"None","Total",23993,0,8,16,2,837,106,406.02
