"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/json",16877,2,120,2518,10,37000,106,285.45
"None","Total",16877,2,120,2518,10,37000,106,285.45
