"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /json",17216,120,850,2900,4600,7600,10000,13000,14000,19000
"Total",17216,120,850,2900,4600,7600,10000,13000,14000,19000
