"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/json",20778,163,74,1007,2,22449,106,350.93
"None","Total",20778,163,74,1007,2,22449,106,350.93
