"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/json",17216,0,120,2089,7,18828,106,290.92
"None","Total",17216,0,120,2089,7,18828,106,290.92
